,User,CREATED_AT,LABEL,stemming_words,LIKE COUNT,FOLLOWERS COUNT
170,1.42E+18,7/27/2021 7:16,Other,ලොව හොඳ අධ්යාපනය සහිත රට අධ්යාපනය සම්පුර්ණ නොමිලේ වගේම ලොව හොඳ අධ්යාපන ක්රමය තියෙන්නෙත් ෆින්ලන්තයේපොත්පත් පාසල් උපකරණ ක්රීඩා භාණ්ඩ නොමිලේ සපයන වගේම අසහනකාරී විභාගත් නෑතව ටියුෂන් වගේම ෆින්ලන්ත දරුවෝ ලොව අඩුම මානසික පීඩයක් සහිත දරුවෝ,21,1327
172,1.42E+18,7/27/2021 7:14,Sport,ක්රීඩාව ජීවිතේම කොටසක් රටේ හැමකෙනෙක්මවගේ කිසියම් හෝ ක්රීඩාවක කරනවා අන්තර්ජාතික ක්රීඩා වගේම දේශීය ක්රීඩාත් තියෙනවා බිරිඳ කරේ තබාගෙන දිවීම රටේ ජනප්රිය ක්රීඩා අංගය,18,1327
174,1.42E+18,7/27/2021 6:52,Entertainment,සමහර ඔලිම්පික් වාර්තා දශක කිහිපයක් තිස්සේ තවම නොබිඳී පවතින දශක කට කාලයක් පුරාවට නොබිඳී පවතින ඔලිම්පික් මලල ක්රීඩා වාර්තා,7,1182
176,1.42E+18,7/27/2021 5:55,Sport,මෙවර ජපානයේ ඔලිම්පික් ගිනි සිළුව දැල්වීමටද තෝරාගත එරට ජනප්රියම ක්රීඩා තාරකාව හැටියට සැලකෙන ටෙනිස් ශූරී නයෝමි ඔසාකා තුන්වන වටයේ තරගයකින් පැරදී ඔලිම්පික් ටෙනිස් තරඟාවලියෙ ඉවත්වී සිදුව තිබේ අද අඟහරුවාදා පැවති ටෝකියෝ ටෙනිස් තරගාවලියේ තෙවැනි වටයේ,1,6740
180,1.42E+18,7/27/2021 3:11,Sport,කතාව ඇත්ත වගේම ක්රීඩාවෙන් ජාත්යන්තර ජයග්රහණ ගෙනාව සුසන්තික හිතුවා මුලු ජීවි,1,6
182,1.42E+18,7/27/2021 1:56,Sport,ක්රීඩිකාව ක්රීඩිකයෙක් මම ගරු කරන චරිත දෙකක් පුළුවන් හැම වතාවෙම අර,9,5195
184,1.42E+18,7/26/2021 12:35,Sport,ඔලිම්පික් ක්රීඩා උළෙලට සහභාගී වූ නිලූක කරුණාරත්න චාමර නුවන් තරඟ බිමට,3,2025
186,1.42E+18,7/26/2021 11:40,Politics,සබඳතා සෞභාග්යය බුදු දහම කුසලතා සංවර්ධන ආපද කළමනාකරණ සංවර්ධන සහයෝගීතාවය ක්රීඩාතරුණ සබඳතා ගුවන සාගර සම්බන්ධකතාවය ප්රවර්ධන කිරීමට ප්රකාශයට පත් කරන ලද ඇඩොමිලියන ප්රදානය තුළින් පිළිඹිබු එතුමා ප්රකාශ කළේය,1,22220
188,1.42E+18,7/26/2021 11:23,Sport,වර්ල්ඩ් කප් එකක් දින්නන්නම වෙයි අනිත් ඒව කා වදින්න ගනන් වල ක්රීඩාව ක්රීඩා ලෝලියා,0,600
190,1.42E+18,7/26/2021 11:13,Sport,ජාතික ක්රීඩාව වොලිබෝල් හෝ අනෙකු ක්රීඩා තරඟ පාපන්දු බාස්කට් බෝල් රගර් පැරද්දෙදි මිනිස්සු කෑගහන්නෙ නැත්තෙ ලංකා ඉන්නෙ ක්රීඩා ලෝලීන් ක්රිකට් ලෝලින්ද,9,600
193,1.42E+18,7/26/2021 9:35,Sport,ගරු තරුණ ක්රීඩා අමාත්ය නාමල් රාජපක්ෂ මැතිතුමන් එක්සත ජාතීන් මානුෂීය කටයුතු ප,0,395
195,1.42E+18,7/26/2021 9:12,Politics,වනවිට ජපානයේ ඔලිම්පික් උළෙල නැරඹීම ගොස් සිටින ක්රීඩා ඇමති නාමල් රාජපක්ෂ ජප බසින් ට්විටර් පණිවිඩයක නිකුත් කර තිබේ එහි දැක්වේ වෙළඳ රැකියා සංචාරක ආයෝජන සංස්කෘතිය තරුණ හුවමාරුව දෙරටේ සංවර්ධනයේ අන්යෝන්ය වාසිදායක වැදග,1,6740
197,1.42E+18,7/26/2021 9:10,Sport,ලෝකෙ රෙදි මහන රටකට ඔලිම්පික් කණ්ඩායමට ඒඒ ක්රීඩාවට අදාලව ජාතික ක්රීඩා ඇදුම සපයගන්න බැරි වුවමනා නැති කමද ගාණක් නැති කමද,2,644
199,1.42E+18,7/26/2021 7:57,Sport,වයස අවුරුදු ක්වූ ජපානයේ මොමිජි නිෂියා සඳුදා ටෝකියෝ නුවර පැවති ක්රීඩා උළෙලේ කාන්තා වීදි ස්කේට්බොඩිං ක්රීඩාවේ ප්රථම ඔලිම්පික් රන් පදක්කම දිනා ගනිමින් ඉතිහාසය අලුත කළාය රිදී පදක්කම දිනාගත් බ්රසීලයේ රයිසා ලීල්ද වයස දැරියකවූ හැවිරිදි ජප,4,6740
201,1.42E+18,7/26/2021 7:50,Sport,ඔලිම්පික් ක්රීඩා උළෙලක සුදුසුකම් ලැබූ පළමු ශ්රී ලාංකේය ජිම්නාස්ටික් ක්රීඩිකාව මිල්කා ගෙහානි ඇයගේ දක්ෂතා විනය ක්රීඩාව කෙරෙහි දක්වන කැපවී ආදී වූ සාධක මතින් ටෝකියෝ ජිම්නාස්ටික් තරඟබිමේදි මව්රටට ගෞරවයක් ගෙනදෙමින් ක්රීඩා කළා,0,26
203,1.42E+18,7/26/2021 7:05,Sport,නිලූකගෙ පරණ එකක් දිග වෙන්නෙ කියලා බැලුවා බලද්දි චාමිකගෙ ලා ඇවිත දාන් අරං ක්රීඩා වලින් මොන තිබුණත් වැඩක් ක්රිකට්ම ගහන්න ඕන ජනප්රිය වෙන්න නං,30,2146
205,1.42E+18,7/26/2021 6:25,Sport,ඔලිම්පික් අද තරග ඉසව් ටෝකියෝ ඔලිම්පික් ක්රීඩා උළලේ තුන්වන දිනය අදයි විස්තර,6,110509
207,1.42E+18,7/25/2021 17:47,Sport,ඔලිම්පික් උළෙල නියෝජන කරන රිද්මයානූකූල ජිම්නාස්ටික් ක්රීඩා ඉසව් ඉදිරිපත් වූ ශ්රීලාංකික කන්ඩායම නායිකා මිල්කා සිල්වා අද සහභාගි වූ මූලික වටයේදී පලමු තරඟයේ ස්ථානය ලබා ගනිමින් තරඟ අවසන් කර තිබේ ඇයට තරඟ වට ඉතිරිව තිබෙනව සිය දක්ෂතා පෙන්වීම,6,118
209,1.42E+18,7/25/2021 16:23,Sport,ක්රීඩා කරන කෙනෙක් ඇමති උනා කිව්වතරුණයෙක් ක්රීඩා ඇමති උනා කිව්ව ලැජ්ජ වෙන්න ඕනෙ,0,31
211,1.42E+18,7/25/2021 15:40,Sport,නිවස් වලට පැය බාගෙම කිව්වෙ මරණෙ ක්රීඩා පුවත්වලට ගියෙට් ක්රිකට් ටීම් එකේ සයිලන්ස්,1,422
213,1.42E+18,7/25/2021 14:07,Other,ළමයෝ ළමයෝ ආන්ටි ක්රීඩා ඇමතිආණ්ඩුව එක්ක තියන ඇරියස් එකක් කවර් කරන්නේ ආන්,1,1174
215,1.42E+18,7/25/2021 11:59,Sport,දේශපාලනය පෙරලුණාට ක්රීඩාව පෙරලන්න බැහැ ඕස්ට්රේලියා මලල ක්රීඩා කණ්,0,31
217,1.42E+18,7/25/2021 11:57,Other,අපි ඉස්කෝලේ ගිය කාලේ උදේ නැගිටලා සීසන් බස් එක අල්ලන්න බලං ඉන්න ආයේ හවස දූවලා ඇවිත බස් එකේ නැගල පැයක් විතර ගිහින් තමයි ගෙදර එන්නේ ඉතිං කොහොම බන් ක්රීඩා ප්රැක්ටිස් යන්නේ ඔය විදිහට තමයි ලංකාවේ ගොඩක් ස්කෝල ලමයි දවස ගෙවන්නේ,15,10159
219,1.42E+18,7/25/2021 11:51,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ මිල්කා ගිහානී තැනට,0,252
221,1.42E+18,7/25/2021 10:48,Entertainment,යුරෝපය ඇමරිකාවේ වගේ උස මහත මිනිසුන් ඒත් චීනෙ ක්රීඩා වලින් අංක එකට එනවා,2,5771
223,1.42E+18,7/25/2021 6:22,Sport,භානුක රාජපක්ෂ අද තරඟ ක්රීඩා කිරීම අවිනිශ්චිත තත්වය වාර්තා වනවා තවම නිශ්චිතව සම්බන්ධව කිසිදු ලෙසකින් දන්වා නැත,25,1310
225,1.42E+18,7/25/2021 6:10,Sport,සෞඛ්ය ක්රීඩා වල විවිධත්ව සමානාත්මතාව ප්රවර්ධන කිරීම ලෝක සෞඛ්ය සංවිධානය අවබෝධතා ගිවිසුමක් අත්සන කරයි,0,234
227,1.42E+18,7/25/2021 4:47,Sport,ඔලිම්පික් ක්රීඩා උළෙලේ ප්රථම රන් පදක්කම චීනය,1,837
229,1.42E+18,7/25/2021 3:43,Other,තාත්තා පුරුදු වුනු ක්රීඩා ආදරේ,2,48
231,1.42E+18,7/24/2021 15:04,Sport,කාලෙට එදා ඉඳන් අපේ ගෙදර පුරුද්ද තමයි මොන ගේම් එක පෙන්නුවත් කවුරු බැලුවත් නොබැලුවත් එක ඔහේ එකේ තියෙනවා එන ගමන් කවුරුහරි බෙල්ල දික් කරලා එකක් හරි බලන් යනවා අඩුගානේ අම්මා එබිලා ලස්සන ගෑණු ළමයෙක් කියාගෙන හරි යනවා තාත්තා පුරුදු වුණු ක්රීඩා ආදරේ,101,2146
233,1.42E+18,8/1/2021 16:59,Other,ප්රවීණ සිනමා නිළි ශ්රීයානි අමරසේන කොරෝනා රෝගය ගොදුරු ඇතැයි වාර්තාවේ ඇයගේ අසනීප තත්වය දැනුම්දී ඇත්තේ හිතවත් කලා ශිල්පී දයාන් විතාරණයි ඔහුගේ ෆේස් බුක් සටහන පහත පරිදිය සිනමා නිළි ශ්රීයානි අමරසේනට කොරෝනා,4,6740
235,1.42E+18,7/30/2021 6:24,Entertainment,අපි සිනමා නිර්මාණය කියැවීම කියවන්න සම්පුර්ණ වචන ගොඩවන්න රචනය විමූ රත්නා,0,139
237,1.42E+18,7/27/2021 3:46,Entertainment,සුපිරිම ෆිල්ම් ගොඩක් ප්රිමියර් වැනිස් සිනමා උළෙල,1,221
239,1.42E+18,7/26/2021 15:32,Entertainment,ආර්ථිකය බිමට වට්ටපු හැටි කතාකරනකොට රනිලුත් ජේ ආරුත් වැඩක් චීනාගෙන් ගිනිපොළියට ණය අ,0,202
242,1.42E+18,8/1/2021 19:03,Politics,මං මුදල් නැති මුදල් ඇමති බැසිල්,1,28580
246,1.42E+18,8/1/2021 14:54,Politics,ඇමති කියලා වවං කනවද හැමදාමත් පිනට තමයි කන්නේ බොන්න අඳින්නේ,0,393
248,1.42E+18,8/1/2021 14:36,Politics,ඇමති අරුන්දිකට දොස්තර වෙන්න බැරිවුනේ,1,974
250,1.42E+18,8/1/2021 13:08,Other,,4,20
252,1.42E+18,8/1/2021 11:09,Politics,ඇමති බන්දුල නූලෙන් බේරේ ගල්ලෙනක කළු ගලක හිස අසලින් බිමට වැටේ,0,1631
254,1.42E+18,8/1/2021 9:31,Politics,හයියෝ අපරාදේ මිස් උනේ ලෝකෙ ලොකුම සේවයක් මිස් උනා ඇමති බන්දුල නූලෙන් බේරේ ගල්ලෙනක කළු ගලක හිස අසලින් බිමට වැටේ ජයගම,5,370
256,1.42E+18,8/1/2021 9:30,Politics,නවසීලන්ත කොමසාරිස් අධිකරණ ඇමති හමුවෙයි,0,23
258,1.42E+18,8/1/2021 9:22,Other,ගල් පැලෙන බොරු කියන බේරි ලූ,2,62
266,1.42E+18,8/1/2021 7:30,Politics,දේශපාලනයෙන් ඈත්වී සිටින හිටපු මුදල් ඇමති මංගල සමරවීර ඉරිදා අරුණ පුවත්පත පැවැත්වූ සම්මුඛසාකච්චාවකදී සමාජ මාධ්ය සම්බන්ධ තිබෙන අදහස් කිහිපයක් පහතින් මහරජ මංගලට රඟපාන්න හිතුණේ ටික් ටොක් වැඩක් වස්ති නිෂ්පාදනය එය තරුණ කණ්ඩාය,1,6740
268,1.42E+18,8/1/2021 5:13,Crime,අපරාධ වාර්තා කොට්ඨාශ නිරීක්ෂණයට ගිය පලමු පොලිස් ඇමති,0,126
270,1.42E+18,8/1/2021 5:09,Crime,ඇමති පුතෙකු විදෙස් පෙම්වතිය බම්බලපිටියේදී ගෙල වැලලාගනී,1,1631
272,1.42E+18,8/1/2021 4:05,Politics,ඇමති බැසිල් තානාපතිවරු හමුවක්,0,32
274,1.42E+18,8/1/2021 3:49,Politics,කියුබානු තානාපතිවරයා විදේශ ඇමති සාකච්ඡා,0,2269
276,1.42E+18,8/1/2021 3:26,Politics,මම මෙවර සියලු මැති ඇමති දීමනා කපාහැර පාර්ලිමේන්තුවාර මුළු මුදලක් ජනාධිපති වැය ශීර්ෂයෙන් වූ මුදලක්ද සියල් ගුරු දිරි දීමනාව ඔවුන් කාලය තුල සිදුකරන ඉගැන්වීම ගෙවීමට බලාපොරොත්තු වේ මුදලින් නොමිලේ අන්තර්ජාල පහසුකම් ඔවුනට ලබාදෙමි,22,10548
278,1.42E+18,8/1/2021 2:49,Politics,ජපාන නෙදර්ලන්ත මැලේසියා රටවල් තානාපතිවරු මුදල් ඇමති හමුවෙති,2,22240
280,1.42E+18,8/1/2021 1:03,Politics,ඩන්කන් වයිට් ලෝක වාර්තව තිබ්බෙ තනියම ගිහින් කිසිම වාර්තව නොතියා අද මිනිස්සු යන්නෙ අසරන මිනිස්සු බඩගින්නෙ ඉන්න ලෝකෙ හතරවටේ ටම නයවෙලා ඉදගෙන බිලියන ගනනක් වියදම් කරමින් ඇමති ටයි නිලදරින්ටයි හෙන ගහන්න ඕන බන්ගලදෙශයටත් නයවෙලා,2,60
282,1.42E+18,7/31/2021 14:28,Politics,විදුලි බල අමාත්ය ඩලස් අලහප්පෙරු මහතාද කොළඹ සිය නිවෙසේ ස්වයං නිරෝධායනයට යොමුවී සිටී ඇමැතිවරයා කාර්ය මණ්ඩලයේ දෙදෙනෙකු කොවිඩ් ආසාදන වී තහවුරු වීමත් ඔහු නිරෝධනයට යොමු වී ඇත,0,105
284,1.42E+18,7/31/2021 9:09,Crime,හිටපු ඇමති පුතාගේ නේපාල ජාතික පෙම්වතිය වැල්ලවත්ත කාමරයේදී ගෙළ වැළලාගෙන,1,1631
286,1.42E+18,7/31/2021 9:05,Crime,හිටපු ඇමති පුතෙකු විදෙස් පෙම්වතිය ගෙල වැලලාගනී,1,28580
294,1.42E+18,7/31/2021 8:00,Other,අක්කේ අය මෙහෙම කරන්නේ මුන්ට කරන්න වැඩක් ඇත්තෙම නැද්ද අපිත් වෙලා කාලයක් හි,4,441
302,1.42E+18,7/31/2021 4:39,Politics,සඳුදා රට අරින තීරණය දුරට වෙනස් වෙන්න පුළුවන් රාජ්ය ඇමති සුදර්ශනී,0,591
304,1.42E+18,7/31/2021 3:27,Politics,මං සෞඛ්ය ඇමති කාලෙ වසංගත හයක් තුරන් කලා ආණ්ඩුවට කොරෝනා තුරන් කරගන්නවත් බෑ,0,1018
306,1.42E+18,7/30/2021 23:44,Politics,කටාන සංවර්ධන සැලැස්මට සියල් සූදානම් මූලික බිම් පරික්ෂාවට ඇමති සුදර්ශිනී එක්වෙයි,1,22240
308,1.42E+18,7/30/2021 23:22,Politics,අභිනව නවසීලන්ත කොමසාරිස් අධිකරණ ඇමති හමුවෙයි,1,22240
316,1.42E+18,7/30/2021 16:31,Politics,ඇමති සරත්ගේ යටතේ තිබූ දෙපාර්තමේන්තු දෙකක් ජනපති යටතට පවරමින් අතිවිශේෂ ගැසට් පත්රයක,3,8026
318,1.42E+18,7/30/2021 9:51,Politics,වැඩේ තියෙන්නේ ලංකා ඔය වසංගතේ ගෙනාපු ඩයල් එක ඇමති කෙනෙක්නෙ,0,9485
320,1.42E+18,7/30/2021 7:18,Politics,හිටපු නියෝජ්ය ඇමති සරණ ගුණවර්ධන අල්ලස කොමිසම ගොනුකර තිබූ නඩු කින් නිදහස්,0,383
324,1.42E+18,7/30/2021 6:39,Politics,ඇමති අරුන්දිකට දොස්තර අරුන්දික වෙන්න බැරිවුනේ,0,289
326,1.42E+18,7/30/2021 6:34,Politics,හිටපු නියෝජ්ය ඇමති සරණ නඩු අටකින් නිදහස්,0,65304
328,1.42E+18,7/30/2021 6:34,Crime,අල්ලස කොමිසම ගොනුකර තිබූ නඩු කින් හිටපු නියෝජ්ය අමාත්ය සරණ ගුණවර්ධන මහතා නිදහස් කරන කොළඹ මහෙස්ත්රාත් අධිකරණය නියම කළේය නඩු අද කොළඹ ප්රධාන මහෙස්ත්රාත් බුද්ධික සී රාගල මහතා ඉදිරියේ කැඳවනු ලැබීය,0,105
330,1.42E+18,7/30/2021 5:43,Crime,හිටපු නියෝජ්ය ඇමති සරණ ගුණවර්ධන නඩු කින් නිදහස් කෙරේ,0,35
332,1.42E+18,7/30/2021 5:22,Other,සංවර්ධන ලොතරැයි මණ්ඩලයේ සභාපති සිටියදී එහි වාහන අවභාවිත කළ අල්ලස කොමිසම පවරා තිබූ නඩු කින් හිටපු නියෝජ්ය ඇමති සරණ ගුණවර්ධන නිදහස් කෙරේ,0,1277
334,1.42E+18,7/30/2021 5:22,Other,හිටපු නියෝජ්ය ඇමති සරණ අල්ලස නඩු කින් නිදහස්,5,120164
338,1.42E+18,7/29/2021 18:12,Other,ඇමති තුමා හරි පොටෝ එක ගන්න පොටෝ කීයක් ගත්තාද,1,62
340,1.42E+18,7/29/2021 15:23,Other,එළදෙන හර ගාලේ ගාල්කරන්නේ නැතිව ඇමති කමක් දුන්නාම අහන්න වෙන්නේ මේව ගොන් කථා තමයි,2,198
342,1.42E+18,7/29/2021 14:22,Other,කඩිනමි තමාට හිමි එන්නත ලබාගන්න රාජ්ය ඇමති ඉල්ලයි වයස අවුරුදු පුද්ගලයින් එන්නත්කරණයට ලක්වීමේ වැදගත්කම සෞඛ්ය බලධාරී නැවත නැවත අවධාරණ කරති විස්තර,8,110509
344,1.42E+18,7/29/2021 14:18,Other,ඔය ක්රිකටර්ස් ලා විනය විරෝධී ගමන් ගිහිං තරඟ තහනම් වෙලා දඩ කෑවා වගේ නෙවේ විනය විරෝධිව ජපානේ ගිය රාජ්ය ඇමතිලා ටිකට ජනාධිපති තුමා දඩ ගහල ඇමති කමෙනුත් එලොපුවම කට්ටි තේරෙයි රටේ හැමෝට තියෙන්නේ එකම නීතිය කියලා සර් එක්ක ලේසි වෙන්නේ නැහැ වල්කන්ට්රිවල්ලෝ,0,208
346,1.42E+18,7/29/2021 14:18,Politics,සංචාරක ක්ෂේත්ර ප්රවර්ධන සැලැස්ම සංචාරක ආකර්ෂණය ජලජ ගුවන ධාවන පථ පිහිටුවිය හැකි ස්ථාන හඳුනා ගෙන තිබෙන සංචාරක ඇමති ප්රසන්න රණතුංග මහතා පවසයි ජලජ ගුවන පථ ක්රියාත්මක බෙන්තොට ගඟ කැළණි ගඟ පොල්ගොල්ල,0,105
352,1.42E+18,7/29/2021 12:53,Politics,ගොවියා ඉල්ලීම ඇමති මහින්දානන්ද අමුතු පිළිතුරක්,0,704
354,1.42E+18,7/29/2021 12:25,Politics,ඇමති විමල් නිරෝධායනයට,1,2025
360,1.42E+18,7/29/2021 10:27,Politics,ඇමති විමල් දින ස්වයං නිරෝධායනයට,1,32
362,1.42E+18,7/29/2021 9:32,Politics,ඇමති විමල් වීරවංශ ස්වයං නිරෝධායනයට,4,8026
364,1.42E+18,7/29/2021 9:08,Politics,ඇමති විමල් වීරවංශ නිරෝධානයට,0,23
366,1.42E+18,7/29/2021 8:59,Politics,ඇමති විමල් දින ස්වයං නිරෝධායනයට කර්මාන්ත අමාත්ය විමල් වීරවංශ මහතා දින කාලයක් ස්වයං නිරෝධායනය යොමුව තිබේ විස්තර,4,110509
368,1.42E+18,7/29/2021 8:21,Politics,ඇමති විමල් නිරෝධායනයට ලක් කරයි,1,28580
374,1.42E+18,7/29/2021 7:51,Politics,ඇමති විමල් නිරෝධායනයට යොමු වෙයි,0,35
376,1.42E+18,7/29/2021 6:13,Politics,කොතලාවල විශ්වවිද්යාල පනත විවාදයට ගන්න කලින් ඇමති චමල් මන්ත්රීවරු හමුවෙන් සූදානමි,1,2025
378,1.42E+18,7/29/2021 5:55,Politics,කොතලාවල පනතේ විවාදයට පෙර මන්ත්රීවරුන්ට ඇමති චමල්ගේ ප්රධානත්වය සාකච්ඡාවක් විස්තර,0,662
380,1.42E+18,7/29/2021 5:54,Politics,කොතලාවල පනතේ විවාදයට පෙර මන්ත්රීවරුන්ට ඇමති චමල්ගේ ප්රධානත්වය සාකච්ඡාවක්,0,35
382,1.42E+18,7/29/2021 5:17,Other,පරයාට ඇමති ධූර ලබා විල්පත්තුවත් නින්දගමක් බාර මූව ඔසොවා තැබීමට අබ මල් රේණුවක් ත,2,1956
384,1.42E+18,7/29/2021 4:58,Other,ඩන්කන් වයිට් ලෝක වාර්තව තිබ්බෙ තනියම ගිහින් කිසිම වාර්තව නොතියා අද මිනිස්සු යන්නෙ අසරන මිනිස්සු බඩගින්නෙ ඉන්න ලෝකෙ හතරවටේ ටම නයවෙලා ඉදගෙන බිලියන ගනනක් වියදම් කරමින් ඇමති ටයි නිලදරින්ටයි හෙන ගහන්න ඕන බන්ගලදෙශයටත් නයවෙලා රට චීනය උගස්තියලා,2,60
386,1.42E+18,7/29/2021 4:12,Politics,ඇමති තෙහෙළිය කියන්නේ බොරු ඇමති රොෂා කියයි,0,201
388,1.42E+18,7/28/2021 15:57,Politics,පොලිස් ඇමති සරත් වීරසේකර මහතාට සජබපාමන්ත්රී හරී මහතාගෙ විවෘත ආරාධනය,5,140
394,1.42E+18,7/28/2021 14:34,Politics,සුව සැරි ගිලන් රථ සේවාව හිටපු ඇමති හර්ෂ සිල්වා අදහස් දක්වයි,7,65304
396,1.42E+18,7/28/2021 13:11,Politics,ජාතික අවශ්යතා සලකා දරුවන්ගේ අධ්යාපනය ඉඩ වෙන් කරන්න ඇමති කෙහෙළිය මාධ්යයෙන් ඉල්ලයි,0,2025
398,1.42E+18,7/28/2021 11:53,Other,ඔලිම්පික් තරගාවලියට ක්රීඩකයො යි ඇමතිවරු යි ඉඩම් ඇමති ඔලිම්පික් ගියේ මොකට,0,206
400,1.42E+18,7/28/2021 9:14,Politics,බැසිල් ලංකා බේරගන්න විදිය සරල බයි එක ලංකා බයි එක පිටිපස්සෙ අල්ලන්නෙ හිටපු මුදල් ඇමති බයි ඉස්සරහින් අල්ලන්නෙ අලුත මුදල් ඇමති බැසිල්,0,1822
402,1.42E+18,7/28/2021 6:54,Other,ඔය දුප්පත් මිනිස්සුන් ඕව බැනලා වැඩක් ඔය මිනිස්සුන් ඕවා තේරුමකුත් මිනිස්සු අසරණයි ඔය මිනිස්සු කොහොම හිටපු ඇමති කෙනෙක් එක්ක හැප්පෙන්නෙ,29,2305
404,1.42E+18,7/28/2021 5:51,Politics,මැද පෙරදිග ආසියානු රටවල රාජ්ය තාන්ත්රික පිරිසක් මුදල් ඇමති හමුවෙයි,0,35
406,1.42E+18,7/28/2021 5:18,Politics,මැද පෙරදිග ආසියානු රටවල රාජ්ය තාන්ත්රික පිරිසක් මුදල් ඇමති හමුවෙයි විස්තර,0,662
408,1.42E+18,7/28/2021 4:34,Politics,මහකොමසාරිස්වරු තානාපතිවරු කිහිපදෙනෙක් මුදල් ඇමති හමුවෙයි,0,591
